County / unitary (as of April 2021),CTYUA20CD,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Croydon,E09000008,"315,868","317,156","319,216","322,775","326,822","329,414","330,923","333,046","332,066","334,241","335,112","335,415","335,919","337,134","339,052","340,449","344,029","349,308","352,763","357,951","364,815","369,189","373,628","377,073","380,070","383,301","384,837","385,346","386,710"
Ealing,E09000009,"283,782","284,936","285,801","286,383","288,486","292,811","293,995","296,274","302,252","304,370","307,276","309,242","308,108","310,073","312,774","315,329","318,671","324,022","329,966","334,073","339,314","340,332","342,108","342,997","344,285","344,802","342,736","341,982","341,806"
Enfield,E09000010,"260,133","260,632","260,769","260,027","262,787","265,033","268,379","268,886","272,731","275,068","277,266","280,745","281,835","282,217","284,779","287,429","291,534","297,443","301,971","307,648","313,935","317,257","320,317","324,409","328,738","332,127","332,705","333,869","333,794"
Greenwich,E09000011,"210,865","211,922","211,340","210,197","209,254","209,839","211,249","212,322","212,168","214,438","217,460","221,476","224,303","227,190","230,494","233,990","236,535","239,748","243,672","249,171","255,483","259,986","264,097","268,853","274,542","279,139","282,849","286,186","287,942"
Harrow,E09000015,"203,013","203,710","206,284","207,373","206,968","207,186","206,933","206,662","207,909","209,114","210,044","212,336","213,728","216,267","221,109","223,632","226,355","229,567","233,495","237,451","240,499","241,978","243,004","245,149","246,818","248,697","248,880","250,149","251,160"
Havering,E09000016,"230,923","229,111","229,385","228,696","227,567","227,115","226,039","223,641","225,712","225,141","224,717","225,054","225,248","225,769","226,990","228,198","229,789","231,793","234,127","236,234","237,927","239,742","242,142","246,030","249,375","253,371","256,039","257,810","259,552"
Hillingdon,E09000017,"234,384","234,457","235,675","238,708","240,146","241,958","242,901","243,587","245,053","245,911","245,616","247,063","248,054","248,691","251,430","254,387","256,981","261,051","265,665","269,465","275,499","281,179","285,996","291,368","296,056","299,899","302,343","304,824","306,870"
Hounslow,E09000018,"203,917","201,987","201,992","201,756","203,691","206,034","210,146","212,445","214,298","214,731","215,976","216,888","216,498","219,440","223,776","228,126","233,454","237,907","243,366","249,236","254,927","258,518","261,275","264,030","266,412","268,270","269,100","270,782","271,523"
Kingston upon Thames,E09000021,"136,062","136,139","136,095","136,420","137,785","139,225","141,330","143,765","146,003","147,328","149,045","149,642","149,683","151,055","152,489","153,667","154,485","156,027","157,307","158,648","160,436","163,200","165,657","168,433","171,609","173,703","174,609","175,470","177,507"
Merton,E09000024,"170,924","171,672","173,711","175,754","177,695","180,623","181,675","182,355","185,062","188,196","191,106","190,561","189,298","188,908","190,583","192,520","194,260","195,859","198,136","199,136","200,543","202,047","203,637","204,598","205,965","206,706","206,052","206,186","206,548"
Redbridge,E09000026,"221,999","223,487","224,747","226,684","228,714","232,804","234,974","235,997","238,138","239,868","241,893","244,273","247,412","248,774","251,560","255,590","259,965","265,452","270,435","275,088","281,395","284,625","288,850","293,853","297,928","301,328","301,785","303,858","305,222"
Richmond upon Thames,E09000027,"166,629","165,137","164,561","165,028","166,648","168,659","170,044","169,945","172,782","172,920","174,311","175,441","177,182","179,312","181,508","182,520","182,421","182,927","184,394","186,304","187,527","188,971","191,138","193,315","194,124","195,187","195,680","196,904","198,019"
Sutton,E09000029,"170,093","171,023","172,600","172,918","174,230","175,731","177,026","177,868","179,375","180,485","181,461","181,265","181,267","181,094","182,103","182,882","184,174","185,860","188,167","189,321","191,123","193,476","195,787","197,954","199,870","201,945","203,243","204,525","206,349"
Waltham Forest,E09000031,"215,893","216,582","217,965","220,094","220,424","220,017","219,795","222,251","221,057","221,296","222,015","223,776","224,115","225,002","226,747","230,731","235,665","242,098","248,140","254,009","259,742","262,456","265,650","267,801","270,671","274,222","275,505","276,700","276,983"
Bracknell Forest,E06000036,"98,063","99,450","100,936","103,532","106,369","108,610","108,970","108,951","109,819","109,680","109,650","109,490","109,475","109,189","109,487","109,896","110,702","111,455","111,916","112,893","113,696","115,089","116,543","117,997","119,205","119,730","120,377","121,676","122,549"
Brighton and Hove,E06000043,"240,534","240,903","240,640","240,829","241,900","242,499","244,745","246,816","248,008","248,791","249,949","249,743","249,846","249,847","252,863","255,564","258,161","262,019","265,584","269,495","272,952","275,724","277,991","280,650","284,073","287,173","288,155","290,395","290,885"
Isle of Wight,E06000046,"125,894","125,620","125,228","125,438","126,168","126,696","127,306","128,575","129,997","131,431","132,925","133,908","134,783","135,891","137,179","137,727","138,289","138,675","138,361","138,364","138,392","138,826","138,555","139,332","139,763","140,264","140,984","141,538","141,771"
Medway,E06000035,"242,528","243,686","242,616","242,586","241,417","241,287","242,314","245,341","246,383","248,474","249,704","250,262","251,159","251,459","252,098","253,478","255,824","258,224","260,230","262,738","264,885","268,130","270,689","273,212","275,176","276,957","277,616","277,855","278,556"
Milton Keynes,E06000042,"178,272","180,394","183,924","187,937","192,359","196,649","199,662","202,861","206,664","209,803","212,707","215,061","217,597","219,521","223,462","227,225","231,033","235,625","240,178","245,450","249,895","252,773","256,376","260,225","263,181","266,240","267,521","268,607","269,457"
Portsmouth,E06000044,"186,754","187,613","187,391","187,901","188,923","189,498","189,427","189,119","187,768","187,820","188,043","188,476","190,283","193,483","196,318","195,964","194,907","196,036","198,983","202,700","205,433","206,517","206,670","208,037","210,538","213,335","214,718","215,133","214,905"
Reading,E06000038,"134,827","135,342","135,479","135,794","138,421","139,491","142,185","144,129","143,512","143,912","144,684","143,915","144,070","144,590","146,940","148,321","149,678","151,460","152,326","154,296","155,339","156,795","158,621","160,268","161,701","162,701","163,075","163,203","161,780"
Slough,E06000039,"105,377","106,920","108,779","110,986","112,921","114,882","116,499","117,980","118,497","119,694","120,577","120,927","120,869","120,833","122,874","125,200","127,991","131,453","134,742","137,800","140,713","141,820","142,672","144,340","146,038","147,736","148,768","149,112","149,539"
Southampton,E06000045,"204,752","205,428","206,489","209,126","211,178","212,924","213,689","215,530","216,057","217,273","219,539","220,459","221,989","223,589","226,655","226,698","227,223","228,447","230,017","233,085","235,870","238,519","239,858","242,106","246,054","250,377","252,359","252,796","252,520"
West Berkshire,E06000037,"138,764","139,316","140,444","141,024","142,052","143,113","143,609","143,671","144,129","144,201","144,494","143,913","144,297","145,147","146,492","148,107","150,056","152,024","153,039","153,943","154,148","154,704","156,031","156,633","157,460","158,576","158,473","158,527","158,450"
Windsor and Maidenhead,E06000040,"133,695","133,884","134,043","134,148","135,474","135,917","135,036","132,960","132,917","133,654","133,541","133,631","134,201","135,066","136,446","138,012","139,743","141,345","142,424","143,988","145,098","145,742","146,278","147,476","148,277","149,689","150,140","150,906","151,422"
Wokingham,E06000041,"141,144","142,196","143,189","142,653","143,470","144,384","146,518","148,091","147,912","149,527","150,334","149,445","148,794","149,008","149,598","150,548","152,144","153,191","154,165","154,650","154,943","156,658","158,065","159,414","161,200","163,087","164,980","167,979","171,119"
Buckinghamshire,E06000060,"455,714","459,993","461,915","464,078","467,904","468,779","471,148","472,078","475,883","477,186","479,131","478,768","480,164","482,126","485,526","489,348","493,501","496,371","498,813","502,820","506,550","510,983","515,533","520,900","527,114","533,056","535,918","540,059","543,973"
East Sussex,E10000011,"468,955","472,317","473,433","476,220","477,992","480,030","482,111","484,999","489,381","491,676","493,130","496,927","501,148","505,007","508,519","511,525","515,891","519,197","520,370","523,651","527,209","531,088","534,904","540,503","545,021","549,557","552,259","554,590","557,229"
Hampshire,E10000014,"1,178,711","1,183,765","1,188,187","1,196,481","1,203,112","1,210,391","1,217,815","1,223,022","1,232,819","1,236,408","1,241,431","1,245,073","1,250,515","1,255,419","1,263,075","1,272,498","1,283,441","1,293,565","1,301,706","1,312,347","1,322,118","1,331,394","1,340,180","1,349,627","1,356,994","1,365,103","1,370,728","1,376,316","1,382,542"
Kent,E10000016,"1,285,798","1,285,235","1,285,806","1,290,099","1,293,738","1,297,663","1,303,105","1,306,723","1,316,720","1,324,679","1,331,194","1,338,968","1,349,046","1,361,384","1,375,217","1,389,634","1,407,791","1,423,308","1,435,269","1,451,905","1,466,466","1,480,151","1,493,114","1,509,301","1,523,100","1,540,438","1,554,636","1,568,623","1,581,555"
Oxfordshire,E10000025,"576,104","580,384","577,090","579,849","585,813","588,454","593,589","596,991","603,800","607,115","607,277","609,491","616,031","620,412","627,568","630,873","635,094","638,784","643,095","648,688","654,791","660,009","663,998","669,377","673,590","678,484","682,444","687,524","691,667"
Surrey,E10000030,"1,023,314","1,024,331","1,025,550","1,027,435","1,030,224","1,030,928","1,038,846","1,040,161","1,055,732","1,057,016","1,060,163","1,059,472","1,062,774","1,065,142","1,071,781","1,082,841","1,095,639","1,104,242","1,113,665","1,125,804","1,135,367","1,144,046","1,154,136","1,164,095","1,172,382","1,180,956","1,185,321","1,189,934","1,196,236"
West Sussex,E10000032,"709,986","709,817","712,033","715,478","723,543","728,211","736,528","740,840","749,126","752,258","754,976","757,263","760,883","765,987","770,798","777,402","784,283","790,978","796,039","803,154","808,919","815,960","822,940","830,512","838,525","846,888","852,353","858,852","863,980"
Bath and North East Somerset,E06000022,"163,135","163,023","162,221","162,980","163,511","163,586","164,738","165,962","167,061","168,490","169,158","169,819","170,361","170,585","171,274","171,204","172,635","173,565","173,360","174,267","175,538","177,196","179,460","181,241","184,287","186,946","188,678","192,106","193,282"
"Bristol, City of",E06000023,"392,174","390,607","390,565","390,996","391,326","389,196","389,163","389,398","390,985","390,446","390,049","389,735","391,454","395,743","405,407","408,428","411,901","414,822","418,990","423,044","428,074","433,043","438,386","443,791","450,640","455,966","459,252","463,405","463,377"
Cornwall,E06000052,"469,540","471,059","472,707","475,425","478,400","479,017","483,206","486,089","490,563","495,373","499,937","504,644","508,579","511,810","515,098","517,984","521,957","524,973","526,365","529,794","533,760","538,249","541,734","545,961","550,283","555,057","561,349","565,968","569,578"
Isles of Scilly,E06000053,"2,009","1,983","2,029","1,977","1,920","1,863","1,908","1,942","2,025","2,100","2,140","2,170","2,155","2,210","2,210","2,264","2,293","2,333","2,251","2,228","2,224","2,279","2,265","2,292","2,335","2,331","2,259","2,242","2,224"
North Somerset,E06000024,"179,213","179,619","181,056","181,338","182,027","183,247","183,813","185,937","186,745","187,745","188,840","189,718","191,323","192,776","194,745","197,028","199,498","200,853","201,711","202,967","203,091","204,454","206,182","208,185","209,941","211,747","212,834","213,919","215,052"
Plymouth,E06000026,"251,244","253,296","253,766","249,525","250,299","247,777","246,041","242,895","241,977","241,721","240,954","242,550","243,390","244,037","247,516","249,178","251,237","252,488","253,116","254,227","256,589","257,744","258,592","260,512","261,386","262,355","263,070","263,100","262,100"
"Bournemouth, Christchurch and Poole",E06000058,"332,691","334,554","336,206","337,738","339,604","339,916","343,004","344,485","344,425","345,785","346,829","348,717","348,483","348,506","351,616","353,901","359,462","363,158","366,948","373,760","379,441","382,788","385,178","388,358","390,889","394,009","395,638","395,784","395,331"
South Gloucestershire,E06000025,"222,150","225,629","228,666","230,850","231,341","233,020","236,306","238,357","241,635","244,790","245,985","247,755","249,176","251,226","253,178","255,258","256,640","257,970","259,730","261,471","263,417","266,193","268,951","270,994","273,952","276,677","279,027","282,644","285,093"
Swindon,E06000030,"171,504","172,079","172,152","171,772","171,949","172,692","175,179","177,804","179,329","179,613","180,129","182,110","184,368","186,390","189,684","192,345","196,942","201,521","204,371","206,939","209,709","211,918","214,028","215,991","217,584","218,580","220,363","221,996","222,193"
Torbay,E06000027,"121,953","121,518","121,510","123,673","124,927","124,737","124,524","124,926","126,311","128,475","129,965","130,521","131,238","131,937","132,178","131,857","132,172","132,070","131,641","131,443","131,193","131,480","132,201","133,264","133,791","134,406","135,247","135,780","136,264"
Wiltshire,E06000054,"398,650","403,871","407,284","410,702","414,251","415,836","418,840","422,136","425,242","428,251","433,508","438,386","442,633","445,632","448,670","453,041","458,840","464,007","466,711","470,199","474,319","476,914","479,911","484,560","488,487","492,240","496,043","498,064","500,024"
Devon,E10000008,"658,526","662,617","665,394","670,558","673,075","675,534","681,358","687,448","692,295","700,886","705,568","709,940","714,055","718,827","725,620","729,592","736,326","739,921","740,988","743,908","747,709","753,102","757,930","764,702","772,406","778,831","787,171","795,286","802,375"
Dorset,E06000059,"323,800","325,535","326,896","330,274","333,664","336,132","338,202","340,020","340,914","344,877","346,596","350,487","353,367","355,305","357,679","359,806","363,069","364,085","363,567","364,317","365,897","366,966","368,555","369,485","371,636","373,288","375,051","376,484","378,508"
Gloucestershire,E10000013,"535,982","538,409","541,314","543,701","547,073","550,748","557,285","555,718","561,021","564,582","564,999","566,445","569,281","572,641","576,908","580,702","585,415","587,610","590,480","594,097","598,289","602,216","605,959","611,739","617,527","623,094","628,139","633,558","637,070"
Somerset,E10000027,"465,677","470,122","471,868","475,569","478,489","479,789","483,752","486,347","490,430","493,940","498,707","503,132","506,790","510,659","514,338","517,252","522,150","525,668","526,592","528,609","531,581","535,197","538,370","542,203","546,466","551,446","555,195","559,399","562,225"
Isle of Anglesey,W06000001,"69,123","69,379","69,772","69,187","68,426","68,592","68,109","67,692","67,978","67,898","67,806","67,879","68,140","68,753","69,095","69,388","69,700","69,916","69,884","69,833","69,913","70,037","70,073","70,141","69,936","69,665","69,794","69,961","70,043"
Gwynedd,W06000002,"115,007","115,426","115,717","116,330","117,526","117,486","117,606","117,384","116,362","116,699","116,844","117,344","118,022","118,721","118,641","119,070","119,398","119,746","120,344","121,155","121,523","122,007","121,653","121,897","122,635","123,323","123,742","124,178","124,560"
Conwy,W06000003,"107,951","107,782","108,142","108,891","108,940","107,897","108,174","108,470","108,322","108,651","109,674","110,624","111,248","112,272","112,374","113,004","113,778","114,371","114,623","114,682","115,326","115,553","115,912","116,420","116,450","116,820","116,863","117,181","117,203"
Denbighshire,W06000004,"89,395","89,119","89,375","89,572","89,911","90,623","90,616","90,951","91,509","92,525","93,070","93,478","93,872","94,010","93,978","93,983","94,530","94,739","94,444","94,152","93,919","94,053","94,518","94,837","94,836","94,984","95,159","95,330","95,696"
Flintshire,W06000005,"142,036","143,493","144,049","144,539","144,844","144,106","144,643","146,261","146,824","147,930","148,629","148,947","149,176","149,681","149,890","150,125","150,816","151,501","151,985","152,080","152,666","152,776","153,223","153,819","154,085","154,626","155,155","155,593","156,100"
Wrexham,W06000006,"124,180","124,627","124,949","125,298","125,431","125,527","125,637","126,178","126,907","127,653","128,540","128,595","128,914","129,005","129,249","130,311","131,263","132,371","133,295","134,009","135,070","135,498","135,801","135,953","135,418","135,408","135,571","136,126","135,957"
Powys,W06000023,"119,703","120,368","121,072","121,400","121,843","123,954","124,604","125,438","125,632","126,134","126,398","127,145","128,295","129,568","130,210","131,037","131,982","132,865","133,090","132,878","133,071","133,015","132,786","132,777","132,730","132,337","132,515","132,447","132,435"
Ceredigion,W06000008,"65,933","67,536","68,854","69,937","70,818","70,609","71,807","72,518","74,046","74,942","75,417","75,500","75,581","75,775","75,485","75,342","75,326","74,971","74,642","75,217","75,293","75,932","75,789","75,133","74,211","73,665","73,076","72,992","72,695"
Pembrokeshire,W06000009,"112,446","113,146","112,885","113,086","112,249","112,141","111,640","111,814","111,667","112,538","113,058","114,146","115,147","116,428","117,204","118,278","119,640","121,134","121,563","121,974","122,613","123,135","123,375","123,826","123,671","124,237","124,711","125,055","125,818"
Carmarthenshire,W06000010,"169,725","169,265","169,255","169,962","171,060","171,145","171,534","172,039","172,329","172,874","173,652","174,628","176,133","177,487","178,229","179,504","181,314","182,517","182,846","183,004","183,961","184,332","184,669","184,968","185,247","185,754","186,452","187,568","188,771"
Swansea,W06000011,"229,743","229,610","229,349","228,239","227,765","227,199","226,764","225,702","225,080","224,475","223,463","224,755","226,350","228,176","229,347","230,793","232,460","234,139","235,601","237,311","238,691","239,460","240,108","240,966","242,316","244,462","245,480","246,466","246,993"
Neath Port Talbot,W06000012,"138,844","138,496","138,219","138,597","137,751","137,327","136,679","136,085","135,356","134,834","134,380","134,931","136,233","137,144","137,670","138,323","138,957","139,481","139,537","139,638","139,880","140,081","139,867","140,453","140,946","141,678","142,090","142,906","143,315"
Bridgend,W06000013,"129,477","129,796","130,129","130,063","129,466","128,667","127,996","128,652","128,585","128,224","128,735","129,741","131,032","131,947","132,893","134,164","135,949","137,175","137,783","138,471","139,410","139,769","140,536","141,287","142,259","143,408","144,288","144,876","147,049"
Vale of Glamorgan,W06000014,"118,053","117,605","117,050","116,850","116,347","116,327","116,950","118,297","117,944","119,276","119,277","120,279","120,980","122,101","122,877","123,642","124,732","125,713","126,162","126,435","126,679","126,998","127,436","128,009","127,980","128,891","130,690","132,165","133,587"
Cardiff,W06000015,"296,941","297,429","299,185","299,085","300,764","305,345","307,321","308,601","310,320","311,443","310,088","312,021","313,246","317,099","321,001","323,766","328,196","332,790","337,656","341,402","345,442","348,724","352,146","354,829","357,496","361,168","362,756","364,248","366,903"
Rhondda Cynon Taff,W06000016,"234,917","235,202","235,468","235,147","235,553","235,369","236,043","234,474","233,904","232,370","231,910","231,795","232,361","233,971","234,070","234,493","234,471","234,724","234,743","234,459","234,373","235,612","236,166","236,871","237,378","238,179","239,127","240,131","241,264"
Merthyr Tydfil,W06000024,"59,594","59,764","59,517","59,346","58,658","58,132","57,371","57,148","56,516","56,218","56,207","55,996","55,955","56,020","56,259","56,627","57,173","57,688","58,156","58,493","58,851","58,907","59,008","59,056","59,247","59,714","59,953","60,183","60,326"
Caerphilly,W06000018,"170,615","170,129","170,243","169,559","168,186","167,385","167,532","167,921","168,566","169,045","169,546","170,776","171,363","172,361","172,777","173,741","174,987","176,259","177,159","178,101","178,782","179,014","179,230","179,933","180,168","180,453","180,795","181,019","181,075"
Blaenau Gwent,W06000019,"72,666","72,592","72,521","72,770","72,569","72,289","72,031","71,292","71,028","70,537","70,000","69,452","69,228","69,242","69,188","69,610","69,685","69,820","69,850","69,798","69,812","69,806","69,764","69,653","69,547","69,630","69,609","69,713","69,862"
Torfaen,W06000020,"90,961","91,188","90,899","90,928","90,955","91,268","91,364","91,355","91,129","91,214","90,912","90,700","90,719","90,516","90,644","90,820","90,974","91,094","91,199","91,060","91,190","91,346","91,362","91,549","91,767","91,994","92,264","93,049","93,961"
Monmouthshire,W06000021,"80,209","80,207","81,637","83,200","84,315","85,209","85,209","83,921","83,980","84,458","84,984","85,417","86,605","87,829","88,611","89,090","89,592","90,109","90,557","91,016","91,508","91,737","92,249","92,540","92,805","93,276","93,590","94,142","94,590"
Newport,W06000022,"135,479","135,515","135,271","135,461","135,140","134,707","135,241","137,328","136,615","136,932","137,642","138,727","139,121","139,316","139,617","140,557","141,376","142,744","143,753","144,803","145,785","146,275","146,741","147,119","147,958","149,478","151,485","153,302","154,676"
Aberdeen City,S12000033,"214,120","216,140","218,250","219,500","219,880","218,350","217,300","215,650","214,630","213,340","211,910","210,680","209,280","207,820","208,690","209,630","212,470","214,020","217,020","219,730","222,460","224,910","227,070","228,920","230,350","229,840","228,800","227,560","228,670"
Aberdeenshire,S12000034,"215,870","219,970","223,100","225,560","226,070","226,990","226,020","226,220","227,240","227,020","226,940","228,830","231,250","234,690","237,570","241,180","244,390","246,830","249,020","251,430","253,650","255,560","257,770","260,530","261,960","262,190","261,800","261,470","261,210"
Angus,S12000041,"108,400","109,900","110,910","111,550","111,560","110,570","110,000","109,790","109,560","108,850","108,370","108,810","108,700","110,170","111,340","112,500","113,540","114,490","114,830","115,410","116,200","116,220","116,290","116,740","116,900","116,520","116,280","116,040","116,200"
Argyll and Bute,S12000035,"93,520","91,680","91,170","91,910","91,950","91,740","91,720","91,670","91,640","91,050","91,300","91,020","90,930","90,580","90,340","90,860","90,790","89,910","89,450","88,620","88,930","86,910","88,050","87,650","86,890","87,130","86,810","86,260","85,870"
Clackmannanshire,S12000005,"48,100","48,170","48,390","48,590","48,570","48,560","48,560","48,410","48,240","48,170","48,070","48,140","48,140","48,680","49,160","49,540","50,600","51,190","51,290","51,330","51,500","51,280","51,280","51,190","51,360","51,350","51,450","51,400","51,540"
Dumfries and Galloway,S12000006,"147,170","147,650","147,940","148,130","148,520","148,520","148,520","148,740","148,230","147,540","147,780","147,670","147,860","148,700","149,620","149,770","150,370","151,010","151,160","151,100","151,410","150,840","150,280","149,960","149,670","149,520","149,200","148,790","148,860"
Dundee City,S12000042,"155,550","154,960","154,000","152,200","152,460","152,200","151,350","149,680","147,970","146,610","145,460","144,370","144,080","143,100","143,600","143,360","143,700","144,290","145,170","146,060","147,200","147,780","148,100","148,130","148,210","148,270","148,710","148,750","149,320"
East Ayrshire,S12000008,"124,020","123,810","123,540","123,250","122,790","122,000","121,440","121,000","120,550","120,120","120,310","119,920","119,850","120,210","120,280","120,440","120,950","121,600","122,110","122,410","122,690","122,730","122,430","122,130","122,060","122,200","121,940","121,840","122,010"
East Dunbartonshire,S12000039,"110,170","109,680","109,270","109,540","109,850","109,300","109,280","109,040","108,670","108,620","108,250","107,350","107,000","106,540","106,040","105,590","105,050","104,940","104,960","104,920","105,000","105,880","105,840","106,710","106,960","107,540","108,130","108,330","108,640"
East Lothian,S12000010,"84,440","84,510","84,880","85,900","86,600","86,990","87,730","88,360","89,110","89,910","90,180","91,060","91,640","92,170","92,730","93,850","95,570","97,480","98,340","99,140","99,920","100,860","101,390","102,090","103,050","104,090","104,840","105,790","107,090"
East Renfrewshire,S12000011,"85,770","86,050","86,490","86,660","87,530","87,410","87,890","88,310","88,520","89,040","89,410","89,930","89,870","89,790","89,880","89,750","89,840","89,870","89,980","90,410","90,810","91,040","91,530","92,410","92,940","93,810","94,760","95,170","95,530"
City of Edinburgh,S12000036,"436,320","436,670","438,300","440,120","443,860","444,910","445,720","446,240","447,190","448,430","449,020","447,500","445,300","445,870","449,470","452,040","456,040","458,520","463,230","469,930","477,940","482,630","487,460","492,610","498,810","507,170","513,210","518,500","524,930"
Na h-Eileanan Siar,S12000013,"29,330","29,240","29,260","29,120","28,810","28,600","27,910","27,540","27,210","26,790","26,450","26,350","26,430","26,650","26,930","27,060","27,210","27,280","27,420","27,600","27,690","27,560","27,400","27,250","27,070","26,900","26,950","26,830","26,720"
Falkirk,S12000014,"142,500","142,400","142,240","142,280","142,680","143,040","143,340","143,880","144,570","144,650","145,270","145,920","146,800","148,300","150,130","151,090","152,320","153,290","154,210","155,130","156,250","156,800","157,160","157,690","158,460","159,380","160,130","160,340","160,890"
Fife,S12000047,"347,360","347,910","349,260","350,190","349,720","347,430","346,540","346,540","347,030","348,340","349,770","350,740","351,360","353,050","355,460","357,260","358,740","360,040","361,420","362,610","365,300","366,210","366,900","367,250","368,080","370,330","371,410","371,910","373,550"
Glasgow City,S12000049,"629,220","622,210","616,680","612,260","604,080","598,840","590,660","587,050","582,950","577,020","578,710","576,450","572,270","569,560","569,250","568,460","571,760","576,200","581,620","586,500","593,060","595,070","596,520","599,640","606,340","615,070","621,020","626,410","633,120"
Highland,S12000017,"203,790","205,670","206,740","207,380","208,220","208,650","208,560","208,850","209,200","209,130","208,920","209,760","211,640","214,560","218,060","220,780","224,000","226,970","228,750","230,730","232,730","232,890","232,930","233,080","234,110","234,770","235,180","235,540","235,830"
Inverclyde,S12000018,"91,390","90,850","89,890","89,320","88,640","87,060","86,460","85,840","85,300","84,660","84,150","83,730","83,300","82,690","82,680","82,320","82,110","82,000","81,670","81,510","81,220","80,690","80,340","79,890","79,500","79,160","78,760","78,150","77,800"
Midlothian,S12000019,"79,530","79,050","79,030","79,060","78,860","78,960","79,550","80,120","80,630","81,110","80,950","80,880","80,280","80,230","80,050","79,990","80,370","81,550","81,900","82,360","83,450","84,240","84,710","86,220","87,390","88,610","90,090","91,340","92,460"
Moray,S12000020,"83,990","85,380","86,520","87,850","87,870","87,430","87,160","86,800","86,800","86,720","87,000","87,690","88,830","89,380","90,100","90,780","91,440","92,840","93,160","93,690","93,470","92,930","94,360","94,770","95,510","96,070","95,780","95,520","95,820"
North Ayrshire,S12000021,"138,060","137,700","137,660","137,550","137,800","137,610","137,690","137,470","137,160","136,360","135,820","135,890","136,310","136,500","136,690","136,790","137,420","137,910","137,830","137,800","138,090","137,570","136,940","136,480","136,130","135,890","135,790","135,280","134,740"
North Lanarkshire,S12000050,"326,900","325,840","324,200","323,830","323,450","322,300","322,510","322,180","322,160","321,390","321,180","322,520","323,700","325,400","327,140","328,740","331,160","333,280","335,160","336,280","337,720","337,890","337,780","338,000","338,260","339,390","339,960","340,180","341,370"
Orkney Islands,S12000023,"19,520","19,670","19,710","19,750","19,810","19,730","19,770","19,590","19,420","19,290","19,220","19,330","19,540","19,830","20,070","20,340","20,580","20,740","20,940","21,220","21,420","21,530","21,560","21,580","21,670","21,850","22,000","22,190","22,270"
Perth and Kinross,S12000048,"127,370","129,300","130,570","132,230","133,220","133,130","133,980","134,580","135,200","134,970","134,950","135,130","135,960","136,900","138,060","139,380","141,140","143,130","144,370","145,600","146,850","147,740","147,770","148,930","149,930","150,680","151,100","151,290","151,950"
Renfrewshire,S12000038,"175,690","175,280","175,320","175,460","176,430","176,390","175,800","175,320","174,390","173,680","172,850","172,300","171,560","171,470","171,430","171,270","171,870","172,640","173,020","173,700","174,700","174,300","173,890","174,230","174,560","175,930","176,830","177,790","179,100"
Scottish Borders,S12000026,"103,830","104,540","105,040","105,450","105,940","105,860","105,960","106,040","105,810","106,250","106,950","107,530","108,390","109,450","110,250","110,860","112,200","113,360","113,590","113,700","113,880","113,720","113,880","114,040","114,030","114,530","115,020","115,270","115,510"
Shetland Islands,S12000027,"22,530","22,600","22,760","22,790","22,970","22,860","22,830","22,700","22,510","22,180","21,960","22,000","21,950","22,090","22,250","22,210","22,350","22,480","22,800","23,060","23,240","23,210","23,200","23,220","23,200","23,200","23,080","22,990","22,920"
South Ayrshire,S12000028,"113,120","113,100","113,280","113,550","113,620","113,540","113,620","113,320","112,850","112,290","112,160","111,690","111,550","111,840","112,030","112,100","112,380","112,610","112,490","112,600","112,980","112,920","112,870","112,530","112,400","112,470","112,680","112,550","112,610"
South Lanarkshire,S12000029,"302,530","303,220","303,950","305,220","304,930","304,760","304,440","303,330","302,580","302,270","302,340","302,770","303,480","305,660","306,850","308,450","310,370","311,310","312,180","313,180","313,900","314,330","314,810","315,300","316,230","317,100","318,170","319,020","320,530"
Stirling,S12000030,"80,930","81,050","81,430","81,980","82,420","83,060","84,050","84,680","85,450","86,160","86,200","86,630","87,090","86,920","87,510","88,090","88,430","88,540","88,690","89,550","90,330","91,010","91,230","91,520","92,830","93,750","94,000","94,330","94,210"
West Dunbartonshire,S12000039,"97,250","96,920","97,000","96,780","95,870","95,320","95,200","94,930","94,420","93,930","93,320","93,040","92,470","91,960","91,530","91,410","91,370","91,190","91,080","90,800","90,610","90,340","89,800","89,710","89,590","89,860","89,610","89,130","88,930"
West Lothian,S12000040,"145,040","144,500","145,680","147,250","148,710","150,080","151,780","153,200","154,760","157,050","159,030","160,370","161,690","163,540","165,010","167,110","169,470","171,390","173,040","174,090","175,300","176,010","176,160","177,200","178,550","180,130","181,310","182,140","183,100"
Antrim and Newtownabbey,N09000001,-,-,-,-,-,-,-,-,-,-,"128,760","129,502","130,356","131,067","132,350","133,216","134,756","136,122","137,422","138,044","138,651","139,157","139,536","139,966","140,467","141,032","141,697","142,492","143,504"
"Armagh City, Banbridge and Craigavon",N09000002,-,-,-,-,-,-,-,-,-,-,"176,014","177,357","178,954","180,828","183,933","187,196","190,505","193,603","196,203","198,202","200,298","202,398","203,757","205,711","207,797","210,260","211,898","214,090","216,205"
Belfast,N09000003,-,-,-,-,-,-,-,-,-,-,"328,695","328,471","327,176","326,268","325,483","325,985","327,383","330,052","331,763","333,489","333,895","333,962","335,133","336,830","338,907","339,579","340,220","341,877","343,542"
