,index_left,OBJECTID_x,CTRY20CD,CTRY20NM,BNG_E_x,BNG_N_x,LONG_x,LAT_x,Shape__Are_x,Shape__Len_x,OBJECTID_y,CTYUA20CD,CTYUA20NM,CTYUA20NMW,BNG_E_y,BNG_N_y,LONG_y,LAT_y,Shape__Are_y,Shape__Len_y,geometry,County / unitary (as of April 2021),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
206,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,207,W06000014,Vale of Glamorgan,Bro Morgannwg,302947,173080,-3.39801,51.44836,329187507.046158,86698.3425244419,POINT (302837.9036165994 172825.5359518412),Vale of Glamorgan,118053.0,117605.0,117050.0,116850.0,116347.0,116327.0,116950.0,118297.0,117944.0,119276.0,119277,120279,120980,122101,122877,123642,124732,125713,126162,126435,126679,126998,127436,128009,127980,128891,130690,132165,133587
207,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,208,W06000015,Cardiff,Caerdydd,315272,178887,-3.22209,51.50254,142068104.619137,54383.2370706351,POINT (316429.7805974676 179758.8912589717),Cardiff,296941.0,297429.0,299185.0,299085.0,300764.0,305345.0,307321.0,308601.0,310320.0,311443.0,310088,312021,313246,317099,321001,323766,328196,332790,337656,341402,345442,348724,352146,354829,357496,361168,362756,364248,366903
208,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,209,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.62185,422322765.345913,112336.533505479,POINT (300727.6439122744 195600.2070129414),Rhondda Cynon Taff,234917.0,235202.0,235468.0,235147.0,235553.0,235369.0,236043.0,234474.0,233904.0,232370.0,231910,231795,232361,233971,234070,234493,234471,234724,234743,234459,234373,235612,236166,236871,237378,238179,239127,240131,241264
209,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,210,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753,51.65001,277815064.267841,98224.5000004764,POINT (316772.3592181843 195606.9327710347),Caerphilly,170615.0,170129.0,170243.0,169559.0,168186.0,167385.0,167532.0,167921.0,168566.0,169045.0,169546,170776,171363,172361,172777,173741,174987,176259,177159,178101,178782,179014,179230,179933,180168,180453,180795,181019,181075
210,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,211,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.75364,109273372.239006,58166.9529683021,POINT (317687.8763749615 208263.3157643469),Blaenau Gwent,72666.0,72592.0,72521.0,72770.0,72569.0,72289.0,72031.0,71292.0,71028.0,70537.0,70000,69452,69228,69242,69188,69610,69685,69820,69850,69798,69812,69806,69764,69653,69547,69630,69609,69713,69862
211,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,212,W06000020,Torfaen,Torfaen,327459,200480,-3.05101,51.69836,125716747.279713,68469.967277748,POINT (327271.194046867 200527.4870379475),Torfaen,90961.0,91188.0,90899.0,90928.0,90955.0,91268.0,91364.0,91355.0,91129.0,91214.0,90912,90700,90719,90516,90644,90820,90974,91094,91199,91060,91190,91346,91362,91549,91767,91994,92264,93049,93961
212,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,213,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.9028,51.77827,854473491.101738,181596.745221589,POINT (339908.6138461345 207883.312707395),Monmouthshire,80209.0,80207.0,81637.0,83200.0,84315.0,85209.0,85209.0,83921.0,83980.0,84458.0,84984,85417,86605,87829,88611,89090,89592,90109,90557,91016,91508,91737,92249,92540,92805,93276,93590,94142,94590
213,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,214,W06000022,Newport,Casnewydd,337897,187432,-2.89769,51.58231,192540015.193893,81882.1942381903,POINT (333160.3841312229 187189.8861268896),Newport,135479.0,135515.0,135271.0,135461.0,135140.0,134707.0,135241.0,137328.0,136615.0,136932.0,137642,138727,139121,139316,139617,140557,141376,142744,143753,144803,145785,146275,146741,147119,147958,149478,151485,153302,154676
214,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,215,W06000023,Powys,Powys,302329,273255,-3.43531,52.34864,5199755131.46536,504309.884311879,POINT (303988.063543199 270511.048553366),Powys,119703.0,120368.0,121072.0,121400.0,121843.0,123954.0,124604.0,125438.0,125632.0,126134.0,126398,127145,128295,129568,130210,131037,131982,132865,133090,132878,133071,133015,132786,132777,132730,132337,132515,132447,132435
215,3.0,4.0,W92000004,Wales,263405.0,242881.0,-3.99417,52.06741,20818923759.6162,1556249.38420021,216,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36425,51.74858,113429186.940109,59195.3263419334,POINT (306057.493638121 205651.7188700206),Merthyr Tydfil,59594.0,59764.0,59517.0,59346.0,58658.0,58132.0,57371.0,57148.0,56516.0,56218.0,56207,55996,55955,56020,56259,56627,57173,57688,58156,58493,58851,58907,59008,59056,59247,59714,59953,60183,60326
