,OBJECTID,CTYUA20CD,CTYUA20NM,Shape__Are,Shape__Len,geometry,County / unitary (as of April 2021),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,1,E06000001,Hartlepool,96029870.6708221,51065.2959126343,"POLYGON ((448906.0417 536703.720100001, 448926.003 536676.6973, 448888.7023 536643.696799999, 448868.304 536624.9022, 453098.3007 534104.2037, 453336.3113 533293.6437, 451894.2004 534021.0989, 452468.6003 533509.6, 452386.6967 533341.8321999999, 452174.11 533352.6199999989, 452034.2739 532619.944399999, 451738.6989 532014.5011, 452817.5989 529606.9005, 453401.1743 529190.995999999, 454449.4024 528445.3035, 453760.8997 528150.698999999, 453469.5758 526793.6261, 452466.5128 526692.230699999, 452185.2938 526288.4778, 451148.5004 525456.799000001, 449537.399 526239.404999999, 448090.9019 525608.795499999, 445354.8031 526096.096000001, 444216.0036 528004.899599999, 443410.7002 527859.9011, 443024.0975 526445.3959999999, 440052.7012 527819.7026, 442604.5971 528543.395500001, 442166.2979 529897.9976999999, 443235.8966 532101.7969, 442351.0037 533093.603, 443974.9015 533135.301000001, 445116.8012 535009.9044999999, 444836.197 536055.4952000011, 447097.001 537152.0013, 448290.1026 536324.7981, 448906.0417 536703.720100001))",Hartlepool,91058.0,91225.0,91081.0,91027.0,90673.0,90397.0,89921.0,89753.0,89680.0,89811.0,90152,89993,90134,90317,90457,90781,90969,91379,91530,91773,92088,92261,92662,92606,92498,92845,93019,93242,93663
1,2,E06000002,Middlesbrough,55231394.2093506,35500.3867452485,"POLYGON ((451894.3886 521145.4057, 453997.6967 517983.2983, 451913.304 516875.4954, 454380.8035 514732.198899999, 454495.2037 513716.0997, 455944.603 513640.001499999, 455389.496 512278.5012, 449638.4999 513046.4014, 446561.5008 513911.503799999, 446335.2976 515897.6953, 447271.4006 518107.8026, 446483.8983 519130.1, 447775.6026 519700.896600001, 448410.2002 522046.994999999, 451894.3886 521145.4057))",Middlesbrough,144747.0,144130.0,144467.0,145618.0,146391.0,145767.0,144497.0,144031.0,143023.0,142251.0,141233,140090,139050,138451,138517,138169,138190,137885,137273,137667,138368,138726,138911,138991,139310,140326,140639,140545,140980
2,3,E06000003,Redcar and Cleveland,248342847.943848,78449.3892396539,"POLYGON ((478227.056 518780.4419, 477689.3026 517966.802999999, 475975.5996 517666.798900001, 474608.2964 515577.297, 474692.2971 510900.795600001, 472584.2988 511876.6963, 467927.9995 510802.2038, 464636.299 512421.2004, 462483.8022 511393.204700001, 458730.0979 512758.503799999, 457197.2998 511786.302100001, 455389.496 512278.5012, 455944.603 513640.001499999, 454495.2037 513716.0997, 454380.8035 514732.198899999, 451913.304 516875.4954, 453997.6967 517983.2983, 451894.3886 521145.4057, 454344.0964 523585.804400001, 455049.5026 524684, 454677.099 526145.4009000011, 455912.3001 526397.3003, 455794.6601 527907.2216, 456253.364 527558.4728, 456987.1998 526324.8998000009, 460000.017 525398.7027, 461181.8003 525035.4001, 462071.3077 524379.3476, 464714.8 522430.0997, 467130.496 521599.7031, 468182.7821 521870.0724, 468831.1039 521952.180400001, 471469.6993 520134.3014, 474250.2 520217.0002, 474832.0043 519999.964199999, 478074.1986 518790.4979, 478227.056 518780.4419))",Redcar and Cleveland,145880.0,145721.0,144256.0,143469.0,142395.0,141156.0,140666.0,140380.0,139542.0,139193.0,139159,138520,138565,138643,138177,137621,136940,136512,135867,135383,135164,134976,134960,135102,135324,135496,136005,136718,137150
3,4,E06000004,Stockton-on-Tees,205231414.427643,87566.566060878,"POLYGON ((452185.2938 526288.4778, 451741.3842 525665.3565, 454202.3968 525599.298, 454324.0032 524247.895, 451894.3886 521145.4057, 448410.2002 522046.994999999, 447775.6026 519700.896600001, 446483.8983 519130.1, 447271.4006 518107.8026, 446335.2976 515897.6953, 446561.5008 513911.503799999, 449638.4999 513046.4014, 448237.3012 512006.698999999, 448206.2998 510472.1983, 446675.497 510803.703400001, 445437.6 509167.3018, 442644.396 507839.102, 442552.4965 508756.599400001, 441295.1 508026.6983, 440760.9025 508729.097200001, 440192.1004 511141.196799999, 439290.7009 510204.305, 438503.3965 511071.096899999, 438149.502 509250.498, 436894.8015 509491.598999999, 436707.0038 510384.603399999, 437547.0024 513968.397500001, 435714.9993 515437.097100001, 435879.7026 517964.503599999, 438161.3006 519001.2969, 438396.4003 522220.295399999, 437351.7016 523257.498500001, 436388.0024 522354.1971, 435563.1994 524065.1973, 438017.8036 524761.3981, 440052.7012 527819.7026, 443024.0975 526445.3959999999, 443410.7002 527859.9011, 444216.0036 528004.899599999, 445354.8031 526096.096000001, 448090.9019 525608.795499999, 449537.399 526239.404999999, 451148.5004 525456.799000001, 452185.2938 526288.4778))",Stockton-on-Tees,175154.0,176149.0,177180.0,177263.0,176993.0,177714.0,178019.0,179350.0,180844.0,182517.0,183795,184940,185699,185687,186350,187270,187937,189039,189978,190902,191824,192487,193433,194423,195128,195958,196487,197213,197348
4,5,E06000005,Darlington,198812770.766724,91926.8395447382,"POLYGON ((436388.0024 522354.1971, 437351.7016 523257.498500001, 438396.4003 522220.295399999, 438161.3006 519001.2969, 435879.7026 517964.503599999, 435714.9993 515437.097100001, 437547.0024 513968.397500001, 436707.0038 510384.603399999, 435163.8994 512200.3036, 434127.1984 511835.498, 435127.8025 511126.1011, 434847.0005 508818.601600001, 435526.5007 507985.3002, 434922.5994 507466.1987, 435360.7997 506474.4026, 434327.0999 506817.104499999, 434096.6999 508845.7039, 432560.7027 509038.4987, 433023.8031 510212.7026, 431764.8977 508958.8015, 431577.2978 509932.602700001, 430623.7977 510041.7015, 431217.5988 508513.798900001, 429542.796 508523.995999999, 428915.9982 510048.899499999, 427107.8975 511386.796499999, 427346.4024 512288.0985, 426526.8021 512184.598099999, 427221.3001 513139.504799999, 425826.3017 512879.4992, 425247.6963 513924.4001, 423837.0983 513261.4999, 423801.8012 514513.501499999, 422449.3968 514427.1962, 422232.898 515532.0999, 419709.2991 515678.2981, 419162.9979 517140.999399999, 420069.5011 517931.903000001, 418897.3008 518698.603499999, 418911.4988 519918.5043, 419872.1968 521341.596999999, 420823.7016 521243.395099999, 420606.6998 524780.8025, 425492.6983 524779.8027999999, 425536.7022 523211.001800001, 426954.9022 524003.1951, 426369.5028 522285.096899999, 427487.0961 520635.9989, 429000.7987 520883.898, 428617.7991 521969.1973, 430674.6038 522465.1953, 434423.5011 522948.696900001, 435529.0979 521874.304500001, 436388.0024 522354.1971))",Darlington,99342.0,99347.0,99224.0,99423.0,99189.0,99588.0,99171.0,99273.0,98172.0,98088.0,97894,98474,98911,99343,100287,101509,102632,103694,104355,105028,105584,105503,105726,105877,105998,106327,106347,106566,106803
5,6,E06000006,Halton,82890886.7071991,59054.981307065,"POLYGON ((354161.5003 387836.602299999, 354113.9016 384806.999500001, 355191.8032 384297.195499999, 358131.9013 385425.8024, 358057.9019 383421.995999999, 359710.0967 383069.696799999, 358865.1016 381750.204500001, 360448.9036 380778.1028, 359515.6039 379630.801200001, 358800.7983 380554.796700001, 358511.1988 379342.103800001, 357116.8023 379436.4968, 357345.1988 378866.9998, 354451.3967 380052.8004, 353398.2963 378990.0046, 351892.3029 379820.796800001, 350834.6017 379134.103399999, 349965.8746 380018.789999999, 349279.5997 381826.4026, 349947.697 383229.800899999, 350818.0423 383383.7128, 350955.2479 383701.780400001, 349563.0988 383902.299000001, 348271.8965 382026.895300001, 347872.4998 382454.5997, 348303.1041 381654.301999999, 347566.2 380912.399800001, 345044.7961 381955.2958, 344958.5485 381934.282500001, 344666.1005 382586.395199999, 345579.9995 382851.9992, 345588.6981 383767.497099999, 347696.2016 384666.0999, 348433.6976 387413.803400001, 349698.3004 387364.497500001, 350553.1978 389731.799799999, 352540.9006 389370.903100001, 352692.7004 388433.8014, 354161.5003 387836.602299999))",Halton,124801.0,124201.0,123766.0,122788.0,122151.0,121778.0,120895.0,120212.0,119552.0,119126.0,118559,118788,119178,119960,120396,121275,122040,122907,123636,124802,125722,125781,126074,126501,126719,127306,127595,128432,129410
6,7,E06000007,Warrington,178742992.981346,71969.4867081409,"POLYGON ((367582.2007 396058.198899999, 370229.2033 391101.897600001, 368282.0002 388925.8005, 371724.8986 387929.695699999, 370826.6982 385621.1965, 367700.3029 385779.6011, 365410.3032 383570.3035, 365582.6992 382955.999399999, 362670.997 380858.899700001, 361050.2984 381545.5031, 360448.9036 380778.1028, 358865.1016 381750.204500001, 359710.0967 383069.696799999, 358057.9019 383421.995999999, 358131.9013 385425.8024, 355191.8032 384297.195499999, 354113.9016 384806.999500001, 354161.5003 387836.602299999, 355115.9981 388075.7039, 356007.2974 392639.497500001, 355233.4985 393119.800000001, 355690.4975 393999.098300001, 354787.4984 393784.4998, 355128.0029 395326.0985, 357645.4014 394368.8025, 358410.9966 393251.802200001, 360493.6001 394152.204500001, 360337.8014 395015.497400001, 361217.3021 393828.0973, 361791.1006 394518.7996, 362224.0982 395896.995100001, 363641.9025 396220.8024, 363410.8016 396926.600299999, 367158.6024 398358.3005, 367582.2007 396058.198899999))",Warrington,184713.0,183393.0,184749.0,186091.0,187274.0,188271.0,188903.0,189569.0,190320.0,190629.0,191202,191615,191987,191837,192992,194603,196559,198187,200057,201309,202709,203795,205165,206681,207781,208973,209704,209547,210014
7,8,E06000008,Blackburn with Darwen,139386372.837677,55099.1506570023,"POLYGON ((372966.4977 423266.500600001, 373792.4961 421751.204399999, 375369.8011 421263.604, 375568.5977 419017.9968, 376122.8967 417715.6995, 375608.0009 415062.8989, 375025.3966 414992.099199999, 372205.998 414225.298599999, 371095.0007 416703.099400001, 369689.696 413818.904999999, 368397.9011 413492.8983, 366280.6023 414615.696900001, 364921.8987 418843.296800001, 366064.6972 421812.9967, 364461.1977 422995.698100001, 363060.7988 427981.201099999, 363748.5029 429031.4004, 369402.9987 431708.6041, 370677.3966 430117.7995, 370310.1039 428992.4016, 371077.4964 428204.6971, 371465.6987 424838.1008, 372966.4977 423266.500600001))",Blackburn with Darwen,137402.0,137775.0,138912.0,139515.0,139558.0,138778.0,138748.0,139568.0,138233.0,138196.0,138453,139538,140429,141418,142145,143110,143942,144902,146197,146966,147657,147854,147763,147416,147856,148462,148772,148942,149696
8,9,E06000009,Blackpool,33544769.4871216,29836.1563680106,"POLYGON ((333572.7995 437130.702099999, 334590.8007 436258.9016, 335319.5981 433501.900800001, 333963.401 433247.003699999, 334425.1986 431366.801899999, 332292.8032 431242.7974, 332040.2982 432108.299699999, 330450.0631 431656.141100001, 331017.1944 440000.0308, 331189.7435 442538.649800001, 333041.8011 441857.199100001, 333572.7995 437130.702099999))",Blackpool,148617.0,150221.0,151099.0,150721.0,149594.0,147579.0,145514.0,144120.0,142995.0,143035.0,142270,142164,142658,143143,143688,143733,143644,142921,142578,142753,142080,142037,141603,140898,140162,139983,139870,139305,139446
9,10,E06000010,"Kingston upon Hull, City of",70878198.3373108,41042.5011604266,"POLYGON ((515429.6785 427689.4344, 513090.9988 428712.6007, 510076.0015 428165.998, 504417.3008 425955.8749, 504178.8041 427276.3028, 505475.8017 429362.295700001, 504132.4009 429442.8027, 504376.9989 430522.503599999, 506338.804 431536.4034, 506013.0993 433954.101299999, 508168.8035 434256.2049, 507946.0962 435533.7992, 510966.6001 436533.0031, 513544.8967 433120.799900001, 515254.9965 433081.101199999, 515180.0984 431094.799799999, 516047.2974 430159.7974, 515429.6785 427689.4344))","Kingston upon Hull, City of",263331.0,265380.0,264961.0,266432.0,266188.0,264715.0,261905.0,259764.0,255872.0,252286.0,249913,249463,250604,253049,255159,255497,255761,256746,256079,256174,256123,257012,257188,257414,258587,260035,260673,260645,259778
