,index_left,OBJECTID_x,CTRY20CD,CTRY20NM,BNG_E_x,BNG_N_x,LONG_x,LAT_x,Shape__Are_x,Shape__Len_x,OBJECTID_y,CTYUA20CD,CTYUA20NM,CTYUA20NMW,BNG_E_y,BNG_N_y,LONG_y,LAT_y,Shape__Are_y,Shape__Len_y,geometry,County / unitary (as of April 2021),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
12,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,13,E06000013,North Lincolnshire,,497800,410993,-0.52407,53.58643,846504712.657303,177069.182075893,POINT (493079.0208101911 411395.727051245),North Lincolnshire,152907.0,152910.0,152185.0,152853.0,151844.0,152211.0,152242.0,152230.0,151962.0,152470.0,152964,154240,156196,158211,159679,161163,162801,164519,165572,166539,167516,168351,168716,169213,169843,170807,171294,172005,172292
13,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,14,E06000014,York,,460864,452589,-1.07375,53.96582,275337364.606918,84229.8119266521,POINT (461738.1873783569 451809.1270695524),York,172272.0,171657.0,171681.0,172673.0,172859.0,174470.0,174953.0,176277.0,177145.0,179107.0,181291,182088,183960,186643,188214,188977,189770,190768,192398,195070,197783,199567,202113,203654,205784,206920,208163,209893,210618
14,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,15,E06000015,Derby,,435609,335375,-1.47189,52.91464,78270268.2160492,40201.8369858684,POINT (435909.5582841991 335104.6281227682),Derby,222881.0,224129.0,225217.0,226548.0,227650.0,229225.0,230477.0,230893.0,231252.0,230794.0,230726,231979,232827,234501,236470,238110,239917,241865,243980,247035,248943,250582,251312,252313,253875,256203,257034,257174,257302
15,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,16,E06000016,Leicester,,458946,304594,-1.1304,52.63592,73589165.1551971,40830.2301887663,POINT (459032.5282031846 304873.0251333358),Leicester,281467.0,281949.0,285620.0,289504.0,291741.0,291039.0,289611.0,290009.0,285940.0,283787.0,282757,285295,288648,294127,301543,306548,311303,315473,319708,324912,329627,332067,334631,338491,344036,349513,353540,355218,354224
16,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,17,E06000017,Rutland,,492992,308655,-0.6263,52.66765,392185479.476913,96395.3187509396,POINT (491068.1875043461 307839.9503028604),Rutland,33021.0,32761.0,32369.0,32209.0,32796.0,33132.0,32866.0,32553.0,33537.0,34141.0,34598,35295,35559,35623,36115,36510,37110,37478,37417,37670,37581,37096,37791,38263,38352,38949,39474,39697,39927
17,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,18,E06000018,Nottingham,,456082,339969,-1.16667,52.95419,75870408.9552002,49574.8901430337,POINT (455402.3552747961 340696.4015580905),Nottingham,279428.0,279783.0,278692.0,277215.0,277613.0,276704.0,278594.0,277365.0,273537.0,270739.0,268939,271769,275547,279624,284834,286459,288164,290783,294808,299753,303899,308463,310657,314385,318936,324779,329209,331069,332900
18,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,19,E06000019,"Herefordshire, County of",,349434,242834,-2.73931,52.08154,2180535921.47885,285426.725653293,POINT (349086.3563165297 245291.3176187407),"Herefordshire, County of",160430.0,162055.0,163517.0,165165.0,165941.0,166557.0,168466.0,171014.0,171997.0,173612.0,174885,175258,175648,176033,176587,178103,179930,181791,182367,182865,183619,185197,186389,187737,188522,189532,191041,192107,192801
19,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,20,E06000020,Telford and Wrekin,,367035,313057,-2.48941,52.71417,291802973.438316,93575.1938714998,POINT (367025.6091877723 314836.5378202238),Telford and Wrekin,141294.0,142245.0,143247.0,144437.0,146143.0,146253.0,149670.0,152900.0,153730.0,155846.0,158573,159401,159848,160603,161535,162710,163368,164089,164889,165641,166831,167811,168642,169768,171677,173727,175768,177799,179854
20,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,21,E06000021,Stoke-on-Trent,,389438,346652,-2.15888,53.01707,92988650.0173569,51304.0331368415,POINT (389069.6826442464 346848.8755655519),Stoke-on-Trent,249409.0,248882.0,248510.0,249472.0,249265.0,248976.0,247360.0,245298.0,244130.0,241989.0,240422,239955,240031,241078,241481,243069,243697,245509,245869,247381,248719,249792,250194,250956,251746,253659,255378,255833,256375
21,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,22,E06000022,Bath and North East Somerset,,366217,161999,-2.48654,51.35604,348611816.21056,107062.696328706,POINT (367007.5912570634 162011.9093029475),Bath and North East Somerset,163135.0,163023.0,162221.0,162980.0,163511.0,163586.0,164738.0,165962.0,167061.0,168490.0,169158,169819,170361,170585,171274,171204,172635,173565,173360,174267,175538,177196,179460,181241,184287,186946,188678,192106,193282
22,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,23,E06000023,"Bristol, City of",,359990,174846,-2.57742,51.47115,109330796.983864,63557.8612004235,POINT (358308.3484450269 174379.8455363837),"Bristol, City of",392174.0,390607.0,390565.0,390996.0,391326.0,389196.0,389163.0,389398.0,390985.0,390446.0,390049,389735,391454,395743,405407,408428,411901,414822,418990,423044,428074,433043,438386,443791,450640,455966,459252,463405,463377
23,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,24,E06000024,North Somerset,,347614,166718,-2.75438,51.39706,372311828.356541,109731.313803356,POINT (344878.3708243245 165942.4376038581),North Somerset,179213.0,179619.0,181056.0,181338.0,182027.0,183247.0,183813.0,185937.0,186745.0,187745.0,188840,189718,191323,192776,194745,197028,199498,200853,201711,202967,203091,204454,206182,208185,209941,211747,212834,213919,215052
24,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,25,E06000025,South Gloucestershire,,367559,183198,-2.46922,51.54673,522992145.367832,116032.943494706,POINT (367923.3697882955 183155.4187432976),South Gloucestershire,222150.0,225629.0,228666.0,230850.0,231341.0,233020.0,236306.0,238357.0,241635.0,244790.0,245985,247755,249176,251226,253178,255258,256640,257970,259730,261471,263417,266193,268951,270994,273952,276677,279027,282644,285093
25,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,26,E06000026,Plymouth,,249945,58255,-4.11297,50.40494,82887770.2532616,49419.7959385561,POINT (249558.4354313182 56776.30748045457),Plymouth,251244.0,253296.0,253766.0,249525.0,250299.0,247777.0,246041.0,242895.0,241977.0,241721.0,240954,242550,243390,244037,247516,249178,251237,252488,253116,254227,256589,257744,258592,260512,261386,262355,263070,263100,262100
